指数代码,指数简称,指数@收盘价:不复权[20251120],指数@涨跌幅:前复权[20251120],指数@同花顺概念指数,指数@成交额[20251120],指数@成交额[20251119],指数@主力资金流向[20251119],指数@区间dde大单净额[20251118-20251120],market_code,code
886106.TI,2025三季报预增,1031.634,-0.8129,同花顺概念指数,37705496000.000,41526036000,307646700,-2912414800,48,886106
886104.TI,2025中报预增,1321.973,-0.4380,同花顺概念指数,192387470000.000,189753550000,78880000,-15128360000,48,886104
886101.TI,兵装重组概念,1512.157,-2.5504,同花顺概念指数,4758966400.000,7629850600,367765160,-1575708340,48,886101
886096.TI,同花顺新质50,2225.343,-1.1190,同花顺概念指数,84952762000.000,75440790000,2211943500,-3207961000,48,886096
886086.TI,西部大开发,1831.954,-0.5642,同花顺概念指数,228114720000.000,223041960000,47304000,-17352298000,48,886086
886084.TI,光纤概念,2185.520,-0.5389,同花顺概念指数,50049810000.000,50359872000,447076100,67793800,48,886084
886075.TI,同花顺出海50,1737.410,-0.3403,同花顺概念指数,82456849000.000,83214995000,2006644100,-10246791500,48,886075
886072.TI,高股息精选,1448.343,-0.1786,同花顺概念指数,95835514000.000,86597804000,3986707500,-4272229600,48,886072
886063.TI,PEEK材料,1897.041,-1.4951,同花顺概念指数,20562604000.000,19362345000,70478890,-2885763360,48,886063
886054.TI,光刻机,1714.340,-0.5314,同花顺概念指数,20563913000.000,21340152000,223876100,538465180,48,886054
886045.TI,同花顺中特估100,1201.145,-0.1766,同花顺概念指数,87170386000.000,87741194000,3908751800,-8369009200,48,886045
886043.TI,太赫兹,1625.761,-0.9522,同花顺概念指数,15446540000.000,18862649000,1266853230,-78678980,48,886043
886033.TI,共封装光学(CPO),3266.042,-0.1113,同花顺概念指数,146965600000.000,136385030000,1863333600,3056468800,48,886033
886032.TI,固态电池,1353.071,-1.2936,同花顺概念指数,209665080000.000,204879020000,1174491000,-32832941000,48,886032
885998.TI,F5G概念,2886.063,0.5531,同花顺概念指数,41879306000.000,40838750000,1237073000,978762500,48,885998
885973.TI,金属铜,1649.134,0.1947,同花顺概念指数,66322072000.000,63042076000,1218974600,-10334370500,48,885973
885971.TI,金属铅,1667.389,0.9884,同花顺概念指数,30122525000.000,31884282000,1029115200,-4656124300,48,885971
885970.TI,金属锌,1851.971,0.9048,同花顺概念指数,31349328000.000,32265522000,864255800,-5101525100,48,885970
885969.TI,金属镍,1138.046,-0.4226,同花顺概念指数,35670174000.000,29889471000,198705200,-4733498600,48,885969
885967.TI,化肥,1068.796,-0.5926,同花顺概念指数,50506524000.000,48075877000,2422197900,-3638002100,48,885967
885966.TI,跨境支付(CIPS),1830.767,-0.0250,同花顺概念指数,48119099000.000,41534375000,136818000,-851226700,48,885966
885964.TI,俄乌冲突概念,1390.433,-1.1128,同花顺概念指数,37485062000.000,37711242000,660454400,-4443904600,48,885964
885960.TI,民爆概念,1761.112,-0.9317,同花顺概念指数,8966297900.000,8641344400,172978470,-591712240,48,885960
885958.TI,硅能源,1152.301,-2.6625,同花顺概念指数,52910359000.000,56587811000,715508800,-8329969300,48,885958
885944.TI,动力电池回收,931.496,-1.0575,同花顺概念指数,100949862000.000,93778386000,2480755900,-16352788300,48,885944
885938.TI,换电概念,1597.728,-1.1815,同花顺概念指数,38957075000.000,38995580000,563663600,-5522746400,48,885938
885937.TI,培育钻石,1658.678,-1.2045,同花顺概念指数,4949520300.000,6597226000,167625160,-1060672950,48,885937
885931.TI,PVDF概念,1322.529,-1.0450,同花顺概念指数,13503801000.000,14704105000,148455960,-3484551170,48,885931
885928.TI,钠离子电池,1324.795,-1.8675,同花顺概念指数,116747584000.000,116123295000,979483000,-24322083400,48,885928
885922.TI,盐湖提锂,1936.983,1.4282,同花顺概念指数,72003370000.000,67062724000,2521208400,-8698791900,48,885922
885916.TI,同花顺漂亮100,901.661,-0.9088,同花顺概念指数,204998670000.000,193327770000,2651075000,-25986978000,48,885916
885912.TI,有机硅概念,2036.252,-2.2429,同花顺概念指数,30184377000.000,30849741000,937530000,-3550128400,48,885912
885901.TI,可降解塑料,1499.245,-1.3329,同花顺概念指数,15188804000.000,15496216000,802680,-1532660430,48,885901
885897.TI,中芯国际概念,2101.675,-1.5101,同花顺概念指数,62281544000.000,65412714000,316680500,-8998008900,48,885897
885865.TI,金属钴,2584.033,-0.2009,同花顺概念指数,45619261000.000,45748052000,1260182100,-6530077400,48,885865
885864.TI,光刻胶,3776.905,-0.2570,同花顺概念指数,33841170000.000,32741424000,196690800,1538200600,48,885864
885860.TI,中船系,1532.632,-2.3885,同花顺概念指数,5882936000.000,9526932900,1260005060,191870531,48,885860
885851.TI,烟草,1610.863,-0.7753,同花顺概念指数,8957251600.000,8793990300,6962930,-433271540,48,885851
885839.TI,人造肉,1561.812,-1.3440,同花顺概念指数,4601343300.000,4623671600,9965600,-574339210,48,885839
885832.TI,长三角一体化,1798.944,-0.8447,同花顺概念指数,51694600000.000,49968438000,390211800,-3227766400,48,885832
885810.TI,大豆,1952.097,-0.9094,同花顺概念指数,3303065200.000,3682339000,12606670,-494889010,48,885810
885795.TI,国产航母,2018.801,-1.4726,同花顺概念指数,15115764000.000,18640264000,1124606340,-955310170,48,885795
885750.TI,特色小镇,579.301,-0.4193,同花顺概念指数,18191348000.000,16310626000,756082090,-1761503900,48,885750
885748.TI,可燃冰,1556.305,-1.3152,同花顺概念指数,4476600600.000,6354842000,677913540,-369250780,48,885748
