code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,首次涨停时间,最终涨停时间,最终涨停时间,涨停封单量,涨停封单额,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
002596,海南瑞泽,6.34,10.069444444,涨停,0.940223,偏低,-57.0273,亏损,海南自贸区;自由贸易港;特色小镇;旅游概念;新型城镇化;装配式建筑;PPP概念;水泥概念;垃圾分类;雄安新区;固废处理;水利;一带一路;融资融券,建筑材料-建筑材料-水泥,4天3板,13,0,False,7268970199.12,小盘,179844981.0,13.833736,活跃,14.928425, 10:55:54, 14:34:51, 10:55:54, 14:34:51,9983948.0,63298230.32,0,极好,8.997625426678969,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
002413,雷科防务,7.66,10.057471264,涨停,1.609866,正常,-76.4134,亏损,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;大飞机;数据要素;无人机;毫米波雷达;军工;人工智能;5G;车联网(车路协同);东数西算(算力);华为概念;DeepSeek概念;芯片概念;养老概念;低空经济;京津冀一体化;无人驾驶;汽车电子;存储芯片;比亚迪概念;深股通;融资融券,国防军工-军工电子-军工电子Ⅲ,5天4板,25,2,True,9904988204.0,小盘,406097050.0,12.452491,活跃,0.941915, 09:44:52, 09:30:00, 09:44:52, 09:30:00,49936489.0,382513505.74,0,极好,13.628948717655552,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
003018,金富科技,20.52,10.026809651,涨停,1.097972,偏低,32.1604,偏高,,轻工制造-包装印刷-包装,5天5板,0,0,False,2010527541.0,微盘,30024864.0,11.812449,活跃,4.71092, 09:30:00, 09:30:45, 09:30:00, 09:30:45,5079300.0,104227236.0,0,极好,6.65804078,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
603216,梦天家居,28.66,10.019193858,涨停,2.755925,活跃,75.0203,过高,智能家居;工业互联网;芯片概念;参股银行,轻工制造-家居用品-定制家居,8天6板,4,1,True,6382295400.0,小盘,12848876.0,12.20261,活跃,11.004784, 10:05:21, 09:32:00, 14:35:50, 14:53:34,246700.0,7070422.0,10,较差,10.2101722,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
600828,茂业商业,6.15,10.017889088,涨停,1.231192,正常,143.8076,严重高估,信托概念;西部大开发;沪股通;物业管理,商贸零售-零售-百货零售,4天4板,3,0,False,10647865113.15,中盘,-99957757.0,1.588061,低迷,10.95238, 09:32:31, 10:15:53, 09:32:31, 10:15:53,13952293.0,85806601.95,0,极好,5.788602919999999,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
600802,福建水泥,7.49,9.985315712,涨停,0.80245,偏低,-324.7812,亏损,海峡两岸;福建自贸区;水泥概念;参股银行;国企改革;参股券商;核电;融资融券,建筑材料-建筑材料-水泥,首板涨停,7,3,True,3432280516.0,小盘,91632489.2,7.064633,温和,9.692307, 10:06:51, 13:21:22, 10:06:51, 13:21:22,8936841.0,66936939.09,0,极好,10.021270135,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
000678,襄阳轴承,14.76,9.98509687,涨停,3.444023,活跃,-178.0165,亏损,减速器;农机;新能源汽车;军民融合;人民币贬值受益;军工;比亚迪概念;融资融券,汽车-汽车零部件-底盘与发动机系统,首板涨停,7,1,True,6783870123.72,小盘,501331602.0,15.850986,活跃,10.864393, 10:24:53, 13:16:09, 10:24:53, 14:04:42,5875500.0,86722380.0,0,极好,12.747046424863793,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
603778,国晟科技,11.59,9.962049336,涨停,0.482608,极低,-29.018,亏损,硅能源;HJT电池;TOPCON电池;钙钛矿电池;新型城镇化;PPP概念;固态电池;锂电池概念;虚拟电厂;光伏概念;储能,电力设备-光伏设备-光伏电池组件,15天10板,11,1,True,7450714275.78,小盘,-13736997.0,12.560986,活跃,7.045735, 09:39:01, 09:38:49, 10:57:24, 09:39:49,5674100.0,65762819.0,5,一般,7.080001794999999,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
000973,佛塑科技,13.78,8.503937008,涨停,0.525949,极低,114.3008,严重高估,固态电池;锂电池概念;宁德时代概念;特高压;航运概念;比亚迪概念;国企改革;粤港澳大湾区;OLED;证金持股;AI眼镜;融资融券;深股通;股权转让(并购重组),基础化工-塑料制品-膜材料,,11,3,True,13331091296.38,中盘,177990088.0,9.268119,温和,9.650582, 09:53:36, 13:07:16, 09:53:36, 13:07:16,,,1,良好,10.108823004774141,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
002222,福晶科技,53.1,6.81955341,涨停,1.507671,正常,77.2457,过高,光纤概念;虚拟现实;华为概念;无人驾驶;福建自贸区;海峡两岸;深股通;国企改革;融资融券,电子-光学光电子-光学元件,,7,3,True,24858856013.4,中盘,392210140.0,3.651684,温和,1.082949, 11:07:09, 09:30:15, 11:07:09, 09:31:15,,,1,良好,9.91496050243984,E,95.0,5.0,87.98819189025468,"芯片概念, 比亚迪概念, 福建自贸区, 海峡两岸, 国企改革",20251125,False
