code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,首次涨停时间,最终涨停时间,最终涨停时间,涨停封单量,涨停封单额,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,涨停日期,持仓
600868,梅雁吉祥,3.58,10.153846154,涨停,0.497883,极低,-145.8287,亏损,水泥概念;新型城镇化;绿色电力;氢能源;水利;小金属概念;回购增持再贷款概念;职业教育;时空大数据;粤港澳大湾区;储能;智慧城市;数据要素;融资融券;沪股通,公用事业-电力-水电,3天2板,13,0,False,6795372270.82,小盘,234130275.0,2.230035,低迷,0.348432, 13:37:25, 09:30:08, 14:13:50, 09:30:08,20557297.0,73595123.26,1,良好,4.003997956221415,E,76.0,6.0,62.0060548480491,20251126,False
002596,海南瑞泽,6.34,10.069444444,涨停,0.68142,极低,-62.7512,亏损,海南自贸区;自由贸易港;特色小镇;旅游概念;新型城镇化;装配式建筑;PPP概念;水泥概念;垃圾分类;雄安新区;固废处理;水利;一带一路;融资融券,建筑材料-建筑材料-水泥,4天3板,13,0,False,7268970199.12,小盘,179844981.0,9.779116,温和,4.089219, 10:55:54, 09:31:23, 10:55:54, 09:32:38,9983948.0,63298230.32,0,极好,6.583417519419873,E,76.0,6.0,62.0060548480491,20251126,False
002413,雷科防务,7.66,10.057471264,涨停,3.367736,活跃,-84.0439,亏损,太赫兹;军工信息化;卫星导航;商业航天;6G概念;军民融合;大飞机;数据要素;无人机;毫米波雷达;军工;人工智能;5G;车联网(车路协同);东数西算(算力);华为概念;DeepSeek概念;芯片概念;养老概念;低空经济;京津冀一体化;无人驾驶;汽车电子;存储芯片;比亚迪概念;深股通;融资融券,国防军工-军工电子-军工电子Ⅲ,5天4板,25,0,False,9904988204.0,小盘,406097050.0,30.800425,异常,3.85164, 09:44:52, 09:30:00, 09:44:52, 11:26:20,49936489.0,382513505.74,0,极好,13.631802194403987,E,76.0,6.0,62.0060548480491,20251126,False
600337,美克家居,2.74,10.040160643,涨停,0.893081,偏低,-12.9826,亏损,C2M概念;跨境电商;新疆振兴;智能家居;智能物流;工业互联网;人工智能;AIGC概念;华为概念;AI智能体;融资融券,轻工制造-家居用品-成品家居,3天2板,10,0,False,3937374895.38,小盘,142548644.0,2.581842,低迷,10.373443, 13:08:28, 09:40:38, 13:08:28, 09:40:38,17369887.0,47593490.38,0,极好,5.874117865,E,76.0,6.0,62.0060548480491,20251126,False
000078,海王生物,3.4,10.03236246,涨停,3.164562,活跃,215.7371,严重高估,流感;仿制药一致性评价;创新药;冷链物流;医疗器械概念;深股通;融资融券;粤港澳大湾区;维生素,医药生物-医药商业-医药流通,3天3板,7,0,False,8929899869.2,小盘,145234952.0,3.55034,温和,10.588235, 09:49:50, 09:55:38, 11:11:39, 09:55:38,22753765.0,77362801.0,1,良好,8.104604175,E,76.0,6.0,62.0060548480491,20251126,False
002702,海欣食品,7.24,10.030395137,涨停,1.685944,正常,-88.434,亏损,预制菜;人造肉;海峡两岸;福建自贸区,食品饮料-食品加工制造-预加工食品,3天3板,4,0,False,3321304750.0,小盘,15193007.0,29.27701,激烈,9.742647, 10:49:24, 09:50:23, 10:49:24, 14:31:30,10569240.0,76521297.60000001,0,极好,9.996745075000002,E,76.0,6.0,62.0060548480491,20251126,False
003018,金富科技,20.52,10.026809651,涨停,3.006798,活跃,35.3743,偏高,,轻工制造-包装印刷-包装,5天5板,0,0,False,2010527541.0,微盘,30024864.0,29.641185,激烈,9.99351, 09:30:00, 09:32:53, 09:30:00, 09:54:53,5079300.0,104227236.0,0,极好,10.342012449999999,E,76.0,6.0,62.0060548480491,20251126,False
600828,茂业商业,6.15,10.017889088,涨停,1.982829,正常,158.1261,严重高估,信托概念;西部大开发;沪股通;物业管理,商贸零售-零售-百货零售,4天4板,3,0,False,10647865113.15,中盘,-99957757.0,2.706995,低迷,9.307359, 09:32:31, 09:36:23, 09:32:31, 09:36:23,13952293.0,85806601.95,0,极好,7.520324024999999,E,76.0,6.0,62.0060548480491,20251126,False
600227,赤天化,2.77,9.920634921,涨停,3.384276,活跃,-22.5135,亏损,民营医院;仿制药一致性评价;化肥;阿尔茨海默概念;煤化工概念;煤炭概念;医疗器械概念;西部大开发;创投,基础化工-农化制品-氮肥,3天2板,9,0,False,3538951454.31,小盘,62258955.7,7.489915,温和,10.162601, 09:30:16, 09:59:38, 09:30:16, 11:15:20,13961100.0,38672247.0,0,极好,9.318106425,E,76.0,6.0,62.0060548480491,20251126,False
603162,海通发展,12.19,6.929824561,涨停,0.706769,极低,44.716,偏高,海峡两岸;航运概念;福建自贸区;统一大市场;人民币贬值受益;沪股通,交通运输-港口航运-航运,,5,0,False,3402521511.24,小盘,116209074.0,6.091192,温和,10.497737, 10:31:38, 09:39:08, 10:31:38, 09:39:08,,,1,良好,5.542509614999999,E,76.0,6.0,62.0060548480491,20251126,False
603155,新亚强,19.47,4.790096878,涨停,2.375779,活跃,59.5309,偏高,有机硅概念;锂电池概念;芯片概念;股权转让(并购重组),基础化工-化学制品-有机硅,4天2板,4,0,False,6148368996.0,小盘,52598246.6,4.838688,温和,1.442841, 09:33:01, 09:30:00, 09:33:01, 09:38:38,,,1,良好,6.9448664849999995,E,76.0,6.0,62.0060548480491,20251126,False
