code,股票简称,最新价,最新涨跌幅,涨停,几天几板,连续涨停天数,a股市值(不含限售股),市值分组,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,涨停日期,持仓
600421,*ST华嵘,8.19,5,涨停,首板涨停,1,1601964000.0,微盘, 14:52:14, 14:52:14,AI概念+风电模具+营收增长+ST板块,693000,5675670.0,9.096637000866346,一般,0,极好,1.2000000000000002,E,20251204,False
002084,海鸥住工,5.17,10,涨停,首板涨停,1,3332760065.14,小盘, 09:30:21, 10:38:57,海峡两岸+回购+装配式厨卫+灯塔工厂+一带一路,9416937,48685564.29,5.242098827500478,一般,2,良好,0.8,E,20251204,False
002632,道明光学,16.56,10.033222591,涨停,5天5板,5,9636032342.16,小盘, 09:30:21, 14:55:49,石墨烯散热膜+反光材料+铝塑膜,1329000,22008240.0,0.6896550865222901,极弱,7,较差,0.5,E,20251204,False
600467,好当家,2.92,10.188679245,涨停,首板涨停,1,4266103367.68,小盘, 13:05:18, 13:22:47,海参+水产养殖+预制菜+海洋经济,9939240,29022580.8,3.784224819940506,较弱,1,良好,1.0,E,20251204,False
003016,欣贺股份,10.49,9.958071279,涨停,首板涨停,1,4310161012.58,小盘, 14:01:24, 14:48:41,海峡两岸+高端女装+流感+业绩回暖,5069200,53175908.0,9.271285585590725,一般,4,一般,0.4,E,20251204,False
000692,惠天热电,4.14,10.106382979,涨停,首板涨停,1,2205928520.64,微盘, 09:30:06, 09:30:06,供热+风电+减亏+沈阳国资,46562427,192768447.77999997,198.5369789747251,极强,0,极好,2.341762784035568,E,20251204,False
600255,鑫科材料,3.95,10.027855153,涨停,首板涨停,1,7134280472.25,小盘, 09:51:43, 14:37:22,铜缆高速连接+铜合金板带+国企,4248731,16782487.45,1.6095517065063447,较弱,4,一般,0.4,E,20251204,False
600707,彩虹股份,6.36,10.034602076,涨停,首板涨停,1,22817579495.52,中盘, 10:45:08, 11:16:11,G8.5+基板玻璃+液晶面板+国企改革,10122042,64376187.120000005,5.745619752262074,一般,1,良好,1.0,E,20251204,False
002565,顺灏股份,10.68,9.989701339,涨停,4天4板,4,11320201086.96,中盘, 09:41:36, 10:13:58,商业航天+太空算力+环保纸+工业大麻,16308400,174173712.0,6.527309544459162,一般,1,良好,1.7215105143708533,E,20251204,False
002353,杰瑞股份,65.91,9.996662216,涨停,4天3板,1,45691704789.9,大盘, 09:30:21, 09:31:06,北美数据中心+燃气轮机+油气装备+锂电池回收,2802341,184702295.31,19.317638180133187,较强,1,良好,1.4949747468305832,E,20251204,False
