code,股票简称,最新价,最新涨跌幅,涨停,量比,量比强度,市盈率(pe),PE风险等级,所属概念,所属同花顺行业,几天几板,连续涨停天数,所属概念数量,热门概念数量,是否主流热点,a股市值(不含限售股),市值分组,最新dde大单净额,换手率,换手强度,振幅,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,市场涨停家数,市场跌停家数,市场情绪分数,当日热门概念,涨停日期,持仓
920680,广道退,1.71,29.54545454545454,涨停,1.768,正常,-2.777,亏损,,计算机-软件开发-垂直应用软件,2天2板,2,0,0,False,80187618.0,微盘,,52.209,异常,38.636, 11:00:01, 14:21:49,退市整理期+大数据+无重组,818835,1400207.85,3.3445432828834547,较弱,3,一般,9.878,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
300503,昊志机电,43.42,20.01105583195136,涨停,2.677,活跃,82.56,过高,减速器;人形机器人;工业母机;商业航天;富士康概念;新型工业化;芯片概念;传感器;比亚迪概念;机器人概念;新能源汽车;高端装备;PCB概念;专精特新;燃料电池;光伏概念;氢能源;人工智能;粤港澳大湾区;海峡两岸;深股通,机械设备-通用设备-其他通用设备,首板涨停,1,20,8,True,10463138800.0,中盘,221297330.0,21.764,激烈,17.689, 13:03:00, 13:03:00,人形机器人+扩产+商业航天+PCB主轴,4079084,177113827.28,7.777596365704547,一般,0,极好,16.626076150098413,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
301005,超捷股份,134.93,20.001778726431883,涨停,1.206,正常,477.956,严重高估,商业航天;航空发动机;大飞机;卫星导航;军工;PEEK材料;无人机;飞行汽车(eVTOL);低空经济;换电概念;小米汽车;人形机器人;机器人概念;专精特新;新能源汽车;氢能源;华为汽车;比亚迪概念;汽车热管理;小米概念;特斯拉概念;家用电器;创投;智能物流;深股通;融资融券,汽车-汽车零部件-其他汽车零部件,2天2板,2,24,12,True,17860925000.0,中盘,88725400.0,22.262,激烈,14.426, 13:14:54, 14:02:00,商业航天+火箭结构件+人形机器人,701617,94669181.81,2.3808724742824667,较弱,4,一般,14.40874,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
301043,绿岛风,63.0,20.0,涨停,2.698,活跃,52.043,偏高,PM2.5;建筑节能;家用电器;粤港澳大湾区;高铁;融资融券,机械设备-通用设备-制冷空调设备,首板涨停,1,5,0,False,3575108300.0,小盘,43491007.0,9.148,温和,20.324, 10:58:54, 10:58:54,洁净室+PM2.5+家用电器+除湿机,2128400,134089200.0,41.00004353509603,极强,0,极好,9.71256,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
301469,恒达新材,35.16,19.999999999999982,涨停,9.365,异常活跃,43.006,偏高,烟草;食品安全;医疗器械概念;参股银行;回购增持再贷款概念;融资融券,轻工制造-造纸-造纸Ⅲ,首板涨停,1,5,0,False,1619423400.0,微盘,34138839.0,22.749,激烈,22.321, 11:14:51, 14:52:18,医疗食品原纸+出口拓展+回购进展,309700,10889052.0,2.9557491802973597,较弱,3,一般,10.554979999999999,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
300900,广联航空,31.21,19.99231064975009,涨停,0.942,偏低,400.012,严重高估,商业航天;大飞机;军民融合;成飞概念;航空发动机;卫星导航;军工;海工装备;碳纤维;低空经济;黑龙江自贸区;高端装备;无人机;飞行汽车(eVTOL);专精特新;机器人概念;回购增持再贷款概念;人形机器人;深股通;融资融券,国防军工-军工装备-航空装备,首板涨停,1,18,11,True,7055798200.0,小盘,279257457.0,24.024,激烈,10.112, 09:30:51, 09:38:09,商业航天+人形机器人+无人机+大飞机,5197000,162198370.0,9.568706525745538,一般,2,良好,13.654576520129822,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
300668,杰恩设计,26.6,19.981957600360847,涨停,3.287,活跃,135.873,严重高估,新型城镇化;数据确权;AIGC概念;华为概念;ERP概念;股权转让(并购重组),建筑装饰-建筑装饰-工程咨询服务,首板涨停,1,6,0,False,2651856700.0,微盘,23384621.0,17.513,活跃,20.749, 14:02:39, 14:15:21,资产出售+AI设计+新型城镇化,1097700,29198820.0,6.287218852148692,一般,2,良好,10.75026,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
002652,扬子新材,4.02,10.136986301369854,涨停,1.855,正常,-98.923,亏损,雄安新区;中芯国际概念,建筑材料-建筑材料-其他建材,首板涨停,1,2,0,False,2058497300.0,微盘,25774752.0,7.268,温和,12.877, 13:55:36, 13:55:36,中芯国际概念+半导体洁净室+有机涂层板,15322580,61596771.6,41.17222192067782,极强,0,极好,8.94970296265771,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
002228,合兴包装,6.55,10.084033613445373,涨停,0.114,极低,37.345,偏高,福建自贸区;海峡两岸;数字水印;回购增持再贷款概念;高股息精选;小米概念,轻工制造-包装印刷-包装,4天4板,4,5,0,False,7921057200.0,小盘,41216327.0,1.144,低迷,0.0, 09:25:00, 09:25:00,海峡两岸+瓦楞包装+客户旺旺+智能制造,23347831,152928293.05,168.7546678371932,极强,0,极好,2.50818,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
002763,汇洁股份,7.89,10.041841004184096,涨停,2.572,活跃,19.882,合理,跨境电商,纺织服饰-服装家纺-服装,首板涨停,1,1,0,False,2395397700.0,微盘,43248246.0,3.459,温和,0.0, 09:25:00, 09:25:00,内衣龙头+抖音渠道+终止运营北美品牌,10535900,83128251.0,100.32241355012931,极强,0,极好,7.72860820525121,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
600376,首开股份,5.92,10.037174721189592,涨停,2.555,活跃,-3.689,亏损,租售同权;养老概念;体育产业;雄安新区;京津冀一体化;物业管理;融资融券;国企改革;冰雪产业;证金持股;沪股通,房地产-房地产-住宅开发,首板涨停,1,8,1,True,15271026000.0,中盘,491348771.0,12.139,活跃,7.435, 09:59:16, 11:26:37,间接持股宇树科技+房地产+城市更新+北京国资,16868843,99863550.56,5.387143644228918,一般,2,良好,11.468718867329219,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
002297,博云新材,12.39,10.035523978685621,涨停,0.472,极低,177.301,严重高估,成飞概念;军民融合;大飞机;商业航天;航空发动机;军工;碳纤维;无人机;国企改革;培育钻石;融资融券,国防军工-军工装备-航空装备,2天2板,2,10,6,True,7100768700.0,小盘,115321063.0,4.151,温和,2.576, 09:30:00, 09:30:00,商业航天+C919+湖南国资+硬质合金,17458200,216307098.0,73.37879813311143,极强,0,极好,8.499088640505883,E,92.0,2.0,85.16644417775703,"商业航天, 新能源汽车, 国企改革, 军工, 机器人概念",20251225,False
