code,股票简称,最新涨跌幅,量比,换手率,所属同花顺行业,所属概念,所属概念数量,最新dde大单净额,资金面评分,a股市值(不含限售股)
600179,安通控股,-9.923664122137396,1.605,10.761,交通运输-港口航运-航运,自由贸易港;海峡两岸;航运概念;宁德时代概念;统一大市场;中俄贸易概念;一带一路;2025中报预增;区块链;沪股通;融资融券,11,-300393899.0,17.19437798,22787443000.0
002228,合兴包装,-9.952606635071088,0.123,1.64,轻工制造-包装印刷-包装,福建自贸区;海峡两岸;数字水印;回购增持再贷款概念;高股息精选;小米概念,6,-49359492.0,2.3880231733333335,6893133700.0
002201,九鼎新材,-9.959839357429708,5.987,25.661,建筑材料-建筑材料-玻璃玻纤,高铁;风电;商业航天;2025中报预增;比亚迪概念;深股通;融资融券,7,-310404127.0,21.20808254,6748682500.0
002363,隆基机械,-9.96472663139329,1.521,13.119,汽车-汽车零部件-底盘与发动机系统,长安汽车概念;华为汽车;特斯拉概念;新能源汽车;比亚迪概念;数字经济;商业航天;军工;华为概念;百度概念,10,-73379000.0,14.016079999999999,4244890900.0
600755,厦门国贸,-9.977064220183497,0.955,10.937,交通运输-物流-物流Ⅲ,海峡两岸;福建自贸区;统一大市场;航运概念;参股银行;参股券商;中俄贸易概念;国企改革;一带一路;养老概念;期货概念;医疗器械概念;回购增持再贷款概念;高股息精选;DeepSeek概念;沪股通;融资融券,17,-443618516.0,18.55120365333333,16737444000.0
600865,百大集团,-9.985935302390994,0.673,14.242,商贸零售-零售-百货零售,信托概念;物业管理;创投,3,-53694069.0,12.251048046666668,7223814100.0
000036,华联控股,-9.987195902688853,1.134,11.445,房地产-房地产-住宅开发,锂电池概念;物业管理;碳中和;盐湖提锂;深股通;融资融券,6,-162148439.0,13.707968780000002,9850091400.0
002752,昇兴股份,-9.988649262202053,0.337,3.054,轻工制造-包装印刷-包装,福建自贸区;海峡两岸;IP经济(谷子经济);储能;新能源汽车;抖音概念(字节概念);深股通,7,-119374671.9,5.265993438,7745774000.0
605007,五洲特纸,-9.993593850096085,0.928,4.04,轻工制造-造纸-造纸Ⅲ,共同富裕示范区;海峡两岸;沪股通,3,-12417074.7,5.261674827333334,5641786400.0
603163,圣晖集成,-9.999999999999996,0.804,3.975,建筑装饰-建筑装饰-专业工程,中芯国际概念;富士康概念;芯片概念;海峡两岸;一带一路,5,-34426101.0,5.348522020000001,7470000000.0
605580,恒盛能源,-10.0,1.465,8.263,公用事业-电力-热力,培育钻石;固废处理;碳交易;绿色电力;芯片概念;沪股通,6,-179718262.0,12.765531906666666,6526800000.0
603696,安记食品,-10.003818251240936,1.07,19.639,食品饮料-食品加工制造-调味发酵品,海峡两岸;2025中报预增;互联网金融;融资融券,4,-79578106.0,14.266562120000001,5543664000.0
003018,金富科技,-10.017074558907227,0.35,2.996,轻工制造-包装印刷-包装,,1,-10002987.0,3.0723930733333336,1549046800.0
000551,创元科技,-10.01767825574543,0.6,10.541,环保-环保设备-环保设备Ⅲ,中芯国际概念;PM2.5;特高压;空气能热泵;氢能源;芯片概念;新能源汽车;商业航天;特斯拉概念;军工;污水处理;军民融合;一带一路;家用电器;机器人概念;减速器;创投;国企改革;参股银行;猴痘概念;期货概念;职业教育;融资融券;深股通,24,-103954439.0,10.606422113333334,7375140600.0
002702,海欣食品,-10.046189376443419,0.715,23.81,食品饮料-食品加工制造-预加工食品,人造肉;福建自贸区;预制菜;海峡两岸,4,-84774492.0,13.48298984,3573613800.0
