日期,指数代码,指数名称,成交额(元),涨跌幅(%),主力净流入(元),较上一交易日成交额(元),近三交易日成交额(元),近三日大单净额(元)
20251118,000029.SH,180价值,,,,,,
20251118,000028.SH,180成长,,,,,,
20251118,000021.SH,180治理,,,,,,
20251118,000018.SH,180金融,,,,,,
20251118,886106.TI,2025三季报预增,,,,,,
20251118,886104.TI,2025中报预增,,,,,,
20251118,000919.CSI,300价值,,,,,,
20251118,000915.CSI,300信息,,,,,,
20251118,000917.CSI,300公用,,,,,,
20251118,399913.SZ,300医药,,,,,,
20251118,000911.CSI,300可选,,,,,,
20251118,000910.CSI,300工业,,,,,,
20251118,000918.CSI,300成长,,,,,,
20251118,000909.CSI,300材料,,,,,,
20251118,000912.CSI,300消费,,,,,,
20251118,000908.CSI,300能源,,,,,,
20251118,000916.CSI,300通信,,,,,,
20251118,399914.SZ,300金融,,,,,,
20251118,000849.SH,300非银,,,,,,
20251118,885537.TI,3D打印,,,,,,
20251118,000858.SH,500信息,,,,,,
20251118,000857.SH,500医药,,,,,,
20251118,000854.SH,500原料,,,,,,
20251118,000856.SH,500工业,,,,,,
20251118,000802.SH,500沪市,,,,,,
20251118,000050.SH,50等权,,,,,,
20251118,885556.TI,5G,,,,,,
20251118,886037.TI,6G概念,,,,,,
20251118,399935.SZ,800信息,,,,,,
20251118,000937.CSI,800公用,,,,,,
20251118,399933.SZ,800医卫,,,,,,
20251118,000931.CSI,800可选,,,,,,
20251118,000930.CSI,800工业,,,,,,
20251118,000929.CSI,800材料,,,,,,
20251118,399932.SZ,800消费,,,,,,
20251118,399928.SZ,800能源,,,,,,
20251118,000936.CSI,800通信,,,,,,
20251118,399934.SZ,800金地,,,,,,
20251118,886071.TI,AI PC,,,,,,
20251118,886019.TI,AIGC概念,,,,,,
20251118,886070.TI,AI手机,,,,,,
20251118,886099.TI,AI智能体,,,,,,
20251118,886085.TI,AI眼镜,,,,,,
20251118,886074.TI,AI语料,,,,,,
20251118,000002.SH,A股指数,,,,,,
20251118,886053.TI,BC电池,,,,,,
20251118,000003.SH,B股指数,,,,,,
20251118,885888.TI,C2M概念,,,,,,
20251118,885927.TI,CRO概念,,,,,,
20251118,930701.CSI,CS京津冀,,,,,,
